date,revenue,age_groups,180dayma,30dayma,7dayma,Prev30
2018-07-31,159.9900,Babies,159.99000000,159.99000000,159.99000000,
2018-08-01,1499.9100,Babies,829.95000000,829.95000000,829.95000000,
2018-08-02,1839.9000,Babies,1166.60000000,1166.60000000,1166.60000000,
2018-08-03,759.9600,Babies,1064.94000000,1064.94000000,1064.94000000,
2018-08-04,1943.9000,Babies,1240.73200000,1240.73200000,1240.73200000,
2018-08-05,2059.8900,Babies,1377.25833333,1377.25833333,1377.25833333,
2018-08-06,1663.9100,Babies,1418.20857143,1418.20857143,1418.20857143,
2018-08-07,2263.8800,Babies,1523.91750000,1523.91750000,1718.76428571,
2018-08-08,2119.8900,Babies,1590.13666667,1590.13666667,1807.33285714,
2018-08-09,2734.8400,Babies,1704.60700000,1704.60700000,1935.18142857,
2018-08-10,2059.8900,Babies,1736.90545455,1736.90545455,2120.88571429,
2018-08-11,539.9700,Babies,1637.16083333,1637.16083333,1920.32428571,
2018-08-12,1799.9100,Babies,1649.68000000,1649.68000000,1883.18428571,
2018-08-13,2479.8600,Babies,1708.97857143,1708.97857143,1999.74857143,
2018-08-14,1779.9000,Babies,1713.70666667,1713.70666667,1930.60857143,
2018-08-15,10111.4100,Babies,2238.56312500,2238.56312500,3072.25428571,
2018-08-16,12735.2300,Babies,2856.01411765,2856.01411765,4500.88142857,
2018-08-17,8714.6000,Babies,3181.49111111,3181.49111111,5451.55428571,
2018-08-18,1503.0000,Babies,3093.14947368,3093.14947368,5589.13000000,
2018-08-19,1811.0000,Babies,3029.04200000,3029.04200000,5590.71428571,
2018-08-20,2398.0000,Babies,2998.99238095,2998.99238095,5579.02000000,
2018-08-21,866.0000,Babies,2902.03818182,2902.03818182,5448.46285714,
2018-08-22,1990.0000,Babies,2862.38434783,2862.38434783,4288.26142857,
2018-08-23,2508.0000,Babies,2847.61833333,2847.61833333,2827.22857143,
2018-08-24,2021.0000,Babies,2814.55360000,2814.55360000,1871.00000000,
2018-08-25,1234.0000,Babies,2753.76307692,2753.76307692,1832.57142857,
2018-08-26,2515.0000,Babies,2744.92000000,2744.92000000,1933.14285714,
2018-08-27,2527.0000,Babies,2737.13714286,2737.13714286,1951.57142857,
2018-08-28,2477.0000,Babies,2728.16689655,2728.16689655,2181.71428571,
